category,band,target,llm_label,id1,id2,audit_label,confidence,error_type,note
Автотовары,exact_negative,0.0,0,8589978550,833223721792,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «тяга рулевая 555 арт. srm060» / «рулевая тяга mando ex5772438010».
Автотовары,exact_negative,0.0,0,17180006557,257698155433,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «летние шины 21/285/40 sailun erange premium 109w» / «sailun erange premium шины летние 315/35 r21 111w».
Автотовары,exact_negative,0.0,0,51539648648,506806242100,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «сайлентблок задний переднего рычага nissan murano z51 <07…» / «stellox / сайлентблок задний переднего рычага subaru lega…».
Автотовары,exact_negative,0.0,0,77309427872,472446466964,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «lesjofors / пружина передняя subaru outback 2.5 03 09» / «lesjofors пружина подвески, арт. 4288324, 1 шт.»."
Автотовары,exact_negative,0.0,0,94489308719,249108130806,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «ergon / зеркало geely mk cross i (06-15) 30440006» / «зеркальный элемент левый cadillac sts i (04-11) асферика …».
Автотовары,exact_negative,0.0,0,94489311380,627065335691,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «mazda / брелок для ключей и автомобиля мазда» / «брелок автомобильный в подарочной упаковке mazda».
Автотовары,exact_negative,0.0,0,137438966409,730144582253,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «clearance plus / проставки передние honda cr-z,2010-2017,…» / «проставки увеличения клиренса передних стоек на опору hon…»."
Автотовары,exact_negative,0.0,0,188978672201,515396184848,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «манжета армированная (сальник) 2-80x125x12» / «nqksf комплект 2 шт. манжета армированная (сальник) 2-35x…».
Автотовары,exact_negative,0.0,0,231928266431,463856602297,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «чехлы на фольксваген transporter t5 t5 2003-2009 велюр» / «чехлы.ру / чехлы 4 40».
Автотовары,exact_negative,0.0,0,231928341044,523986061139,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «подшипник ступицы 3302 задн наруж (7509) finwhale» / «finwhale / подшипник ступицы газ 2217,2752,соболь задн. н…»."
Автотовары,exact_negative,0.0,0,300647860525,163208860531,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «avs щетка стеклоочистителя гибридная, арт. a40376s, 30 см» / «щетка стеклоочистителя 600 мм (10 в 1) mhl-24 multi hybri…»."
Автотовары,exact_negative,0.0,0,343597509792,335007584489,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «esco / каркасные шторки эско тонировка honda cr-v 2» / «каркасные шторки esco premium 90-95% для honda cr-v 5 (20…».
Автотовары,exact_negative,0.0,0,343597523217,575525732579,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «z 125 шлем для картинга и мотокросса, одобренный dot abs …» / «wtcx мотошлем, цвет: голубой, размер: xl»."
Автотовары,exact_negative,0.0,0,412316967826,249108139075,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «ремонт сколов кузова (подкраска) + лак комплект fiat / la…» / «kiwix / краска 20мл ssangyong lam anthracite black +лак 2…».
Автотовары,exact_negative,0.0,0,446676638348,618475427601,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «накидка ""велюр ромб"" 2шт. на переднее сиденье для chery t…» / «/ накидки-чехлы на ниссан микра ii nissan micra ii 5шт»."
Автотовары,exact_negative,0.0,0,498216295794,695784827463,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «colorpro маркер с краской citroen, цвет 241a - jaune cari…» / «карандаш-маркер с краской nissan, цвет 381 - 2-х цветное …»."
Автотовары,exact_negative,0.0,0,515396087732,352187401926,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «наконечник тяги mitsubishi pajero 4x4 82-» / «patron / наконечник рулевой тяги toyota land cruiser j12 …».
Автотовары,exact_negative,0.0,0,558345800000,128849089718,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «stellox / колодки дисковые 29067 iveco eurocargo» / «колодки тормозные барабанные для bpw / stellox 85-02514-s…».
Автотовары,exact_negative,0.0,0,618475296185,94489289423,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «lynx / амортизатор toyota 4 94- передн.лев.» / «стойка амортизаторная передняя l lynxauto g32557l. для: t…».
Автотовары,exact_negative,0.0,0,627065310603,240518187153,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «patron / суппорт тормозной pbrc471» / «patron суппорты тормозные, арт. pbrc441, 1 шт.»."
Автотовары,exact_negative,0.0,0,627065345548,103079219884,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «stellox пыльник шруса, арт. 1300808sx» / «stellox / к-кт пыльника шруса наружного»."
Автотовары,exact_negative,0.0,0,695784850141,206158558513,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «амортизатор подвески suzuki grand vitara 2,4l 2008 fr kyb…» / «kyb амортизатор подвески, арт. 332068»."
Автотовары,exact_negative,0.0,0,747324334249,326417518279,0,H,,Разные модель/вариант либо нет достаточного общего якоря: «решетка радиатора в стиле mugen accord vii (06-08) cl9 cl7» / «решетка радиатора sport honda accord viii дорестайлинг. о…».
Автотовары,exact_negative,0.0,0,833223725923,197568602243,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «крепление бампера kia cerato 18- левый» / «sat / крепление бампера левое, среднее киа kia»."
Автотовары,exact_negative,0.0,0,841813598457,558345865429,0,H,,"Разные модель/вариант либо нет достаточного общего якоря: «брызговики №1 (к-кт 2 шт) передние для renault duster, i …» / «промтехпласт / брызговики audi 80 variant 2шт»."
Автотовары,exact_positive,1.0,1,8590088146,111669203562,1,H,,"Совпадают конкретный товар/вариант и ключевые поля: «jikiu / втулка амортизатора jikiu bs33001» ↔ «jikiu втулка подвески, арт. bs33001»."
Автотовары,exact_positive,1.0,1,146028924258,326417638273,1,H,,"Совпадают конкретный товар/вариант и ключевые поля: «амортизатор renault logan ii/sandero ii 12- пер. газ. kyb…» ↔ «kyb запчасти автомобильные, арт. 338749, 1 шт.»."
Автотовары,exact_positive,1.0,1,154618950756,128849153295,1,H,,Совпадают конкретный товар/вариант и ключевые поля: «лампа галогенная блистер 1шт h4 12v 60/55w p43t-38 premiu…» ↔ «philips лампа автомобильная арт. 12342prb1».
Автотовары,exact_positive,1.0,1,171798816420,730144604442,0,H,MODEL_VARIANT,Разные артикулы и бренды: Trialli DF165101 против Smart.store DF155101.
Автотовары,exact_positive,1.0,1,283467847253,541165966652,1,H,,Совпадают конкретный товар/вариант и ключевые поля: «привод в сборе передн. лев. nissan primera p11 96-» ↔ «привод в сборе передн. лев. nissan primera (p11) 96- zekk…».
Автотовары,exact_positive,1.0,1,335007591811,249108192119,1,H,,Совпадают конкретный товар/вариант и ключевые поля: «наконечник рулевой внутренний l/r mitsubushi lynxauto (ар…» ↔ «lynxauto / рулевой наконечник внутренний л/р митсубуши па…».
Автотовары,exact_positive,1.0,1,360777299868,274877941421,1,M,,Совпадают конкретный товар/вариант и ключевые поля: «автошина maxxis premitra ice nord ns5 225/65 r17 102t» ↔ «maxxis premitra ice nord ns5 шины зимние 225/65 r17 102t …».
Автотовары,exact_positive,1.0,1,369367346136,103079350558,1,H,,"Совпадают конкретный товар/вариант и ключевые поля: «сайлентблок рычага подвески зад прав лев ctr gv0946» ↔ «ctr / сайлентблок зад. рычага audi a3 all 03>, seat altea…»."
Автотовары,exact_positive,1.0,1,377957235015,618475432050,1,H,,"Совпадают конкретный товар/вариант и ключевые поля: «набор автомобильных предохранителей airline мини 10 шт /5…» ↔ «airline afum02 предохранители ""мини"" (5-30а,10шт)»."
Автотовары,exact_positive,1.0,1,420906796637,584115635830,1,H,,"Совпадают конкретный товар/вариант и ключевые поля: «dayco ремень поликлиновой 6pk1760» ↔ «dayco ремень поликлиновой, арт. 6pk1760»."
